fLength,fWidth,fM3Trans,fDist,class
28.7967,16.0021,-8.2027,81.8828,g
31.6036,11.7235,-9.9574,205.261,g
162.052,136.031,-45.216,256.788,g
23.8172,9.5728,-7.1513,116.737,g
75.1362,30.9205,21.8393,356.462,g
51.624,21.1502,9.8145,238.098,g
48.2468,17.3565,10.5868,219.087,g
26.7897,13.7595,-2.9292,237.134,g
96.2327,46.5165,43.1844,248.226,g
46.7619,15.1993,-6.6812,102.251,g
62.7766,29.9104,23.771,323.094,g
18.8562,16.46,-16.9327,162.848,g
45.6321,22.71,-14.3164,178.255,g
33.1818,12.4655,-8.1803,41.3816,g
60.458,33.1061,28.8315,372.568,g
29.4741,22.4581,13.1673,214.126,g
36.1741,17.6865,11.3256,191.455,g
46.2915,16.0328,-12.7979,75.5234,g
46.0588,18.787,10.7955,180.783,g
44.7394,15.6364,12.4183,221.806,g
91.6423,71.8818,60.019,285.414,g
86.0486,21.8287,-18.8093,302.553,g
90.5299,17.8721,14.9662,272.038,g
20.3836,9.0462,-2.0403,66.1667,g
87.2384,27.935,-11.3438,342.504,g
107.338,29.1356,-20.0479,293.781,g
27.2304,19.2817,9.7216,104.283,g
26.7065,18.907,-11.6888,63.7637,g
23.5647,9.9926,-8.26,185.189,g
34.7486,19.2286,14.3186,109.445,g
50.4829,25.9699,-18.1839,141.601,g
87.4217,26.7866,-24.0948,371.79,g
34.9205,15.9621,11.9768,154.712,g
28.6609,19.1223,11.4633,199.059,g
75.2057,31.6833,10.3219,282.915,g
84.61,36.4657,16.1472,258.597,g
45.6094,20.8103,-9.2036,165.582,g
37.742,24.3346,13.7756,131.601,g
38.1817,15.9235,-3.1071,177.008,g
73.6263,35.582,-26.2742,372.317,g
63.3453,24.3855,16.9773,291.553,g
16.7608,11.3962,-5.7427,169.688,g
27.6746,18.9149,15.143,223.241,g
13.2617,10.7145,-11.8517,107.851,g
61.6463,21.171,-18.9858,234.581,g
18.6533,15.1674,8.0971,55.7509,g
38.1627,25.1091,16.227,188.124,g
12.974,10.9058,-6.5973,168.245,g
63.2886,26.427,19.7834,302.897,g
24.999,14.6867,-10.3623,174.003,g
35.9913,19.4494,-6.3628,175.99,g
44.0846,23.0143,19.3011,210.596,g
65.3574,22.3483,-19.7587,272.68,g
43.7724,20.353,11.1037,273.837,g
33.4858,15.0766,-6.8774,169.066,g
92.8723,25.685,-19.0013,304.585,g
19.6562,9.7376,-2.8001,118.341,g
96.8578,39.4755,-26.431,340.996,g
95.5207,34.5134,-15.3593,260.879,g
22.7945,14.8676,12.765,110.258,g
66.7336,24.94,-7.3935,223.912,g
45.0172,18.4512,-13.6786,178.647,g
99.6416,13.5477,7.7025,57.7231,g
20.8112,7.1717,-6.0245,235.951,g
96.3755,31.3902,20.5479,307.321,g
30.3331,14.9817,-5.1006,74.5242,g
20.9491,7.0366,6.0883,146.512,g
49.6143,28.1482,22.939,150.761,g
26.9766,9.7238,1.6476,197.338,g
29.817,19.8364,15.0702,222.184,g
23.0242,13.2275,5.5499,210.819,g
66.1331,25.9259,-12.7104,160.519,g
34.9502,16.0121,-7.5776,201.404,g
23.6353,11.4736,-9.9017,194.384,g
20.4754,15.7636,-3.923,55.4986,g
59.7337,17.0227,-14.0979,217.856,g
22.6397,10.2608,-10.8294,251.28,g
92.937,22.1354,14.2821,358.99,g
86.5636,36.8235,26.1668,306.55,g
39.3737,12.0817,6.5266,201.01,g
41.2629,20.9786,12.715,219.077,g
89.8648,33.6384,14.069,158.618,g
24.999,17.775,14.8483,120.263,g
19.5793,14.6976,-4.9889,130.918,g
21.8344,6.832,6.6103,95.7374,g
87.5837,33.3742,-14.3854,255.315,g
53.7339,15.4395,-9.3853,32.6827,g
34.889,19.6402,12.4846,227.336,g
41.0677,16.2578,16.1237,213.317,g
60.0261,12.245,8.5485,230.089,g
70.0322,30.2255,-24.9966,294.746,g
74.5714,23.0735,-12.2594,363.489,g
77.9219,31.8209,-14.371,327.992,g
39.1755,26.3821,17.0574,299.173,g
18.1607,10.4502,-6.3001,147.236,g
25.4762,12.0898,6.2085,193.349,g
23.4494,16.2843,10.389,235.203,g
32.0586,15.6976,-11.3244,193.794,g
18.4475,11.7563,11.397,219.394,g
41.4001,25.658,-23.3496,91.228,g
92.5854,11.2825,6.7814,293.081,g
29.3424,16.1814,7.7365,168.084,g
47.8275,18.509,-7.859,159.704,g
73.2547,19.5552,16.6915,282.616,g
26.0862,12.5473,5.6343,183.852,g
94.2369,17.6341,-14.982,302.219,g
38.1089,15.08,13.3864,154.264,g
33.5874,17.46,5.127,166.95,g
50.8293,20.0939,9.3292,189.155,g
25.0275,12.8142,12.3285,72.7386,g
26.8928,17.7678,-15.8111,109.02,g
28.0883,6.8084,-2.8594,146.596,g
35.8144,12.3164,-6.2792,142.372,g
29.3108,14.6309,11.3697,69.2467,g
19.6419,0,0,182.016,g
23.6924,8.8987,-7.0892,128.707,g
27.4888,18.5665,-10.0668,188.636,g
117.749,33.2446,-17.914,188.983,g
26.8971,19.2128,8.1139,152.596,g
13.1994,10.8032,-11.7029,181.817,g
25.1576,12.8638,7.8713,149.657,g
18.2028,15.8708,5.3072,48.9988,g
70.6584,19.8319,-12.6086,288.263,g
101.703,39.5491,22.1504,327.251,g
58.1232,23.5601,11.5684,94.0063,g
20.7445,17.3249,-12.0534,91.6373,g
56.2418,16.5703,10.7621,250.91,g
70.2768,24.5132,-12.3834,233.617,g
81.2317,32.2546,12.8892,295.38,g
32.7059,17.1981,15.3472,99.7447,g
42.3725,20.2021,-11.1395,182.477,g
80.3994,14.9183,-10.599,272.617,g
25.5688,19.0735,-14.8757,316.47,g
16.9286,11.2814,6.0007,190.039,g
18.8734,17.772,-14.4939,114.938,g
34.1619,21.2966,11.8667,163.722,g
30.0005,21.6966,-18.5123,151.522,g
41.3848,32.4617,28.1989,308.373,g
25.2228,13.6075,11.3032,78.9436,g
21.6891,10.3849,10.2235,232.154,g
20.5839,12.8876,-8.1001,199.96,g
25.2091,10.6551,3.9151,147.489,g
35.7062,13.2892,7.0429,201.751,g
62.6886,22.612,16.5613,229.768,g
19.7366,7.3095,-4.8598,173.073,g
48.4695,18.1279,-10.5913,203.072,g
22.5702,0,0,210.833,g
18.249,10.4383,5.3027,159.544,g
28.4148,13.01,10.6797,136.651,g
47.6,13.413,8.2134,178.462,g
33.3528,17.6866,-8.487,196.918,g
97.794,26.8347,12.0158,256.435,g
13.1155,10.1083,10.0776,166.287,g
52.8479,21.5505,-20.7681,309.622,g
40.6097,20.5874,-10.1794,233.346,g
65.6069,33.6033,-23.9483,246.341,g
63.8128,26.2233,18.3607,284.652,g
22.5539,9.7776,10.4839,236.65,g
59.817,14.838,12.1712,289.536,g
27.1044,9.7779,-11.7431,225.566,g
21.776,12.7202,-9.1862,120.076,g
20.6454,6.839,5.7986,175.992,g
91.6174,39.9496,32.7482,256.828,g
60.8598,18.7033,12.0692,146.803,g
35.577,15.0526,4.1406,225.707,g
